"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"PhD in Electrical and Electronics Engineering (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Civil Engineering (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Mechanical Engineering (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Telecommunication Engineering (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Development Studies (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Counselling Psychology (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Conflict Resolution and Peace Building (By Research)","Kampala International University",Kampala,13/Dec/2019,13/Dec/2029,Active
"PhD in Peace and Security Studies","Gulu University",Gulu,29/Jun/2020,29/Jun/2030,Active
"PhD in Development Studies","Mbarara University of Science and Technology",Mbarara,29/Jun/2020,29/Jun/2030,Active
"Doctor of Philosophy in Public Health","Nkumba University",Wakiso,14/Dec/2020,14/Dec/2030,Active
"PhD in Business","Gulu University",Gulu,14/Dec/2020,14/Dec/2030,Active
"PhD in Education","Gulu University",Gulu,14/Dec/2020,14/Dec/2030,Active
"PhD in Humanities(Geography,Philosophy,Religious Studies and Engish and Linguistics)","Gulu University",Gulu,14/Dec/2020,14/Dec/2030,Active
"PhD in Business Administration","Kabale University",Kabale,14/Dec/2020,14/Dec/2030,Active
"PhD in Public Administration and Management","Kabale University",Kabale,14/Dec/2020,14/Dec/2030,Active
"Bachelor of Music","Africa Institute of Music",Kampala,01/Mar/2021,01/Mar/2026,Active
"Postgraduate Diploma in Early Childhood Education","Africa Renewal University",Wakiso,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Education Primary","Africa Renewal University",Wakiso,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with Education","Africa Renewal University",Wakiso,01/Mar/2021,01/Mar/2026,Active
"Postgraduate Diploma in Education","Africa Renewal University",Wakiso,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Science in Public Health","Africa Renewal University",Wakiso,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Tourism, Hospitality and Event Management","Clarke International University",Kampala,01/Mar/2021,01/Mar/2026,Active
"PhD in Science (Biology,Chemistry,Mathematics,Physics and Computer Science)","Gulu University",Gulu,01/Mar/2021,01/Mar/2031,Active
"Higher Education Certificate-Health Sciences","ISBAT University",Kampala,01/Mar/2021,01/Mar/2026,Active
"PhD in Islamic Banking and Finance","Islamic University in Uganda",Mbale,01/Mar/2021,01/Mar/2031,Active
"Masters Of Education (M.Ed with Specialisations)","Islamic University in Uganda",Mbale,01/Mar/2021,01/Mar/2026,Active
"Master of  Education in Education Psychology","Islamic University in Uganda",Mbale,01/Mar/2021,01/Mar/2026,Active
"Masters in Linguistics","Kabale University",Kabale,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Divinity (Modular)","Uganda Christian University",Mukono,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Divinity regualr","Uganda Christian University",Mukono,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts in Creative Multimedia","Limkokwing University of Creative Technology",Mukono,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts in Business Administration","Limkokwing University of Creative Technology",Mukono,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Science in Information Technology","Limkokwing University of Creative Technology",Mukono,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts in Tourism Management","Limkokwing University of Creative Technology",Mukono,01/Mar/2021,01/Mar/2026,Active
"Higher Education Certificate-Business Studies","Makerere University Business School",Kampala,01/Mar/2021,01/Mar/2026,Active
"Diploma in Entrepreneurship and Small Business Management","Makerere University Business School",Kampala,01/Mar/2021,01/Mar/2026,Active
"Master of Science in Health Information Technology","Mbarara University of Science and Technology",Mbarara,01/Mar/2021,01/Mar/2026,Active
"Diploma in Environmental Health Sciences","Mountains of the Moon University",Kabarole,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Eduction-Secondary","Mountains of the Moon University",Kabarole,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with  Education","Mountains of the Moon University",Kabarole,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts in Mass Communication","Mountains of the Moon University",Kabarole,01/Mar/2021,01/Mar/2026,Active
"Higher Education Certificate-Biological Sciences","Kampala School of Health Sciences",Kampala,01/Mar/2021,01/Mar/2026,Active
"Master of Arts in Literature","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts in Social Sciences","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Postgraduate Diploma in Information Technology","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Diploma in Primary Education","Mountains of the Moon University",Kabarole,01/Mar/2021,01/Mar/2026,Active
"Postgraduate Diploma in Information and Communication Technology","Mountains of the Moon University",Kabarole,01/Mar/2021,01/Mar/2026,Active
"Postgraduate Diploma in Educational Planning and Management","Team University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Diploma in Primary Education","Team University",Kampala,01/Mar/2021,01/Mar/2026,Active
"National Diploma in Information and Communication Technology","Vision for Africa International Christian College",Mukono,01/Mar/2021,01/Mar/2026,Active
"National Diploma in Tourism and Hotel Management","Vision for Africa International Christian College",Mukono,01/Mar/2021,01/Mar/2026,Active
"National Diploma in Fashion and Design","Vision for Africa International Christian College",Mukono,01/Mar/2021,01/Mar/2026,Active
"National Diplona in Cosmetology and Body Therapy","Vision for Africa International Christian College",Mukono,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Social Sciences (Public Administration and Management","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts International Relations and Diplomacy","Cavendish University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts in Public Administration and Management","Cavendish University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Science in Computer Science","Cavendish University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Journalism and Communication Studies","Cavendish University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with Education, Geography","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with Education, Kiswahili Language","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with Education, History","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts  with Education, Economics","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with Education (Social Studies)","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with Education, Religious Studies","Kampala University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Master of Arts in Theology and Development","Uganda Christian University",Mukono,01/Mar/2021,01/Mar/2026,Active
"Master of Science in Agriculture and Rural Development","Uganda Christian University",Mukono,01/Mar/2021,01/Mar/2026,Active
"Master of Science in Sustainable Agriculture by Research","Uganda Christian University",Mukono,01/Mar/2021,01/Mar/2026,Active
"Postgraduate Diploma in Christian Ministry","Uganda Christian University",Mukono,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Arts with Education, Luganda","Nkumba University",Wakiso,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Computer Science and Information Technology","Kampala University, Luweero campus",Luwero,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Business Administration","Kampala University, Luweero campus",Luwero,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Procurement and Supply Chain Management","Kampala University, Luweero campus",Luwero,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Social Sciences (Public Administration and Management","Kampala University, Luweero campus",Luwero,01/Mar/2021,01/Mar/2026,Active
"Bachelor of International Relations and Diplomatic Studies","Cavendish University",Kampala,01/Mar/2021,01/Mar/2026,Active
"Bachelor of Social Sciences (Political Science)","Kampala University",Kampala,02/Mar/2021,02/Mar/2026,Active
"Bachelor of Arts with Education,  English Language","Kampala University",Kampala,02/Mar/2021,02/Mar/2026,Active
"Master of Business Administration","ISBAT University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Master of Science in Information Technology","ISBAT University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Science Public Health","Cavendish University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in Social Work and Social Administration","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Economics and Statistics","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"Diploma of Science in Counselling Psychology","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Science in Counselling Psychology","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Public Relations and Mass Communication","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"Master of Science in Mathematics","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Science with Education","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Master of Science in Physics","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Master of Science in Chemistry","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Master of Science in Biology (Entomology,Pest and Vector Biology)","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Electrical Engineering","Muteesa I Royal University",Masaka,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Civil Engineering","Muteesa I Royal University",Masaka,01/Jun/2021,01/Jun/2026,Active
"Bachelor of science in computer science","ISBAT University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in computer hardware and networking","ISBAT University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in multimedia and animation","ISBAT University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in networking and cyber security","ISBAT University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in software engineering","ISBAT University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Master of french and language studies","Makerere University",Kampala,01/Jun/2021,01/Jun/2026,Active
"PhD in Agricultural and Applied Economic","Makerere University",Kampala,01/Jun/2021,01/Jun/2031,Active
"Bachelor of Political Science and Public Administration","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"PhD in Educational Management","Bugema University",Luwero,01/Jun/2021,01/Jun/2031,Active
"PhD in Environmental Management","Bugema University",Luwero,01/Jun/2021,01/Jun/2031,Active
"PhD in Rural Development","Bugema University",Luwero,01/Jun/2021,01/Jun/2031,Active
"PhD in Chemistry","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2031,Active
"PhD in Curriculum and Medical Studies","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2031,Active
"Master of Education in Education Administration and Planning","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Master of Education in Education Psychology","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Master of Science in Biology (Natural Resources,Ecology, Conservation and Management)","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"PhD in Physics","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2031,Active
"Phd in Mathematics","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2031,Active
"Master of Science in Biology (Microbiology and Parasitology)","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"PhD in Educational Administration and Planning","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2031,Active
"Master of Education in Curriculum Instruction and Media Studies","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"PhD in Psychology","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2031,Active
"Diploma in Agricultural Meteorology","Mbarara University of Science and Technology",Mbarara,01/Jun/2021,01/Jun/2026,Active
"Diploma in Clinical Medicine and Community Health","Ndejje University",Luwero,01/Jun/2021,01/Jun/2026,Active
"Diploma in Information Technology","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Social Work","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in Social Work","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in Public Administration","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in Visual Effects and Animation","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Postgraduate Diploma in Human Nutrition","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Arts with Education","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Science in Animation and  Visual Effects","Victoria University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Biomedical Laboratory Technology","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Art, Fashion and Design","University of Kisubi",Wakiso,01/Jun/2021,01/Jun/2026,Active
"Higher Education Certificate – Humanities","Cavendish University",Kampala,01/Jun/2021,01/Jun/2026,Active
"Bachelor of Electrical Engineering","Muteesa I Royal University",Masaka,01/Jun/2021,01/Jun/2026,Active
"Master of Science in Materials Engineering","Busitema University, Main Campus",Busia,01/Jun/2021,01/Jun/2026,Active
"PhD in Business Administration and Management","Busitema University, Pallisa Campus",Pallisa,01/Jun/2021,01/Jun/2031,Active
"Diploma in Mental Health – Direct","Butabika School of Psychiatric Nursing",Kampala,01/Jun/2021,01/Jun/2026,Active
"Diploma in Mental Health – Extension","Butabika School of Psychiatric Nursing",Kampala,01/Jun/2021,01/Jun/2026,Active
"Masters in Education Management, Planning and Administration","Bishop Stuart University",Mbarara,13/Jun/2021,13/Jun/2026,Active
"Bachelor of Business Administration","Equator University of Science and Technology (EQUSaT)",Masaka,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Dental Surgery","Equator University of Science and Technology (EQUSaT)",Masaka,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Information Technology","Equator University of Science and Technology (EQUSaT)",Masaka,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Medicine and Bachelor of Surgery","Equator University of Science and Technology (EQUSaT)",Masaka,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Arts in Business Administration","Unicaf University",Kampala,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Arts in Healthcare Management","Unicaf University",Kampala,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Arts in Tourism and Hospitality Management","Unicaf University",Kampala,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Science in Business Accounting and Financial Management","Unicaf University",Kampala,14/Jun/2021,14/Jun/2026,Active
"Diploma in Philosophical and Theologious Studies","St. Thomas Aquinas National Major Seminary-Katigondo",Masaka,14/Jun/2021,14/Jun/2026,Active
"Diploma in Theology and Pastoral Studies","St. Paul's National Major Seminary-Kinyamasika",Kabarole,14/Jun/2021,14/Jun/2026,Active
"Master of Arts in Theological and Religious Studies (Programme Affiliation-Makerere University)","St. Paul's National Major Seminary-Kinyamasika",Kabarole,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Arts in Philosophy (Programme Affiliation- Uganda Martyrs University)","Queen of Apostles Philosophy Centre, Jinja",Jinja,14/Jun/2021,14/Jun/2026,Active
"Diploma in Environmental Health Science","School of Hygiene, Mbale",Mbale,14/Jun/2021,14/Jun/2026,Active
"Post Basic Diploma in Health Leadership and Management","School of Hygiene, Mbale",Mbale,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Agri-Systems Management","University of the Sacred Heart, Gulu",Gulu,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Applied Information Technology","University of the Sacred Heart, Gulu",Gulu,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Counselling Psychology","University of the Sacred Heart, Gulu",Gulu,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Information Systems","University of the Sacred Heart, Gulu",Gulu,14/Jun/2021,14/Jun/2026,Active
"Postgraduate Diploma in Business Intelligence and Data Analytics","University of the Sacred Heart, Gulu",Gulu,14/Jun/2021,14/Jun/2026,Active
"Postgraduate Diploma in Strategic Management and Leadership","University of the Sacred Heart, Gulu",Gulu,14/Jun/2021,14/Jun/2026,Active
"Diploma in Laboratory Technology","Lubaga Hospital Training School",Kampala,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","Lubaga Hospital Training School",Kampala,14/Jun/2021,14/Jun/2026,Active
"Diploma in Physiotherapy","Lubaga Hospital Training School",Kampala,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing","Lubaga Hospital Training School",Kampala,14/Jun/2021,14/Jun/2026,Active
"Diploma in Catering and Hotel Management","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma in Chinese Language and Culture","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma in Computer Science","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma in Cosmetology and Beauty Therapy","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma in Graphics Design and Digital Marketing","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma in Information Technology","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma of Science in Data Communications and Networks Systems","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma in Fashion Design and textile Technology","Luyanzi Institute of Technology",Wakiso,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","Ibanda School of Midwifery and Nursing",Ibanda,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing","Ibanda School of Midwifery and Nursing",Ibanda,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","St Francis Mutolere health Institute (Formerly Mutolere School of Nursing and Midwifery)",Kisoro,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing","St Francis Mutolere health Institute (Formerly Mutolere School of Nursing and Midwifery)",Kisoro,14/Jun/2021,14/Jun/2026,Active
"Diploma in Bible and Theology","Pentecostal Theological College, Mbale",Mbale,14/Jun/2021,14/Jun/2026,Active
"Higher Education Certificate-Biological Sciences","St. Francis School of Health Sciences",Mukono,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","St. Joseph’s Kamuli School of Midwifery and Nursing",Kumi,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing","St. Joseph’s Kamuli School of Midwifery and Nursing",Kumi,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery (Extension)","Karoli Lwanga Institute of Health Sciences-Nyakibale",Rukungiri,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing  (Extension)","Karoli Lwanga Institute of Health Sciences-Nyakibale",Rukungiri,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","St. Kizito Hospital Matany School of Nursing and Midwifery",Napak,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing","St. Kizito Hospital Matany School of Nursing and Midwifery",Napak,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","St. Lawrence Villa Maria School of Nursing and Midwifery",Masaka,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing","St. Lawrence Villa Maria School of Nursing and Midwifery",Masaka,14/Jun/2021,14/Jun/2026,Active
"National Diploma in Civil Engineering","St. Simon Peter’s Vocational Training College",Hoima,14/Jun/2021,14/Jun/2026,Active
"National Diploma in Electrical Engineering","St. Simon Peter’s Vocational Training College",Hoima,14/Jun/2021,14/Jun/2026,Active
"National Diploma in Mechanical Engineering","St. Simon Peter’s Vocational Training College",Hoima,14/Jun/2021,14/Jun/2026,Active
"Diploma in Medical Laboratory Technology","St. Mary’s Hospital Lacor Health Training Institute",Gulu,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing","St. Mary’s Hospital Lacor Health Training Institute",Gulu,14/Jun/2021,14/Jun/2026,Active
"Post basic Diploma in Anesthesia","St. Mary’s Hospital Lacor Health Training Institute",Gulu,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","St. Mary’s Hospital Lacor Health Training Institute",Gulu,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing (Direct)","Virika Institute of Health Sciences",Kabarole,14/Jun/2021,14/Jun/2026,Active
"Diploma in Nursing (Extension)","Virika Institute of Health Sciences",Kabarole,14/Jun/2021,14/Jun/2026,Active
"National Diploma in Civil Engineering","Daniel Comboni Technical College",Gulu,14/Jun/2021,14/Jun/2026,Active
"National Diploma in Electrical Engineering","Daniel Comboni Technical College",Gulu,14/Jun/2021,14/Jun/2026,Active
"National Diploma in Mechanical Engineering","Daniel Comboni Technical College",Gulu,14/Jun/2021,14/Jun/2026,Active
"Diploma in Midwifery","St. Mary’s Midwifery Training School, Kalongo",Agago,14/Jun/2021,14/Jun/2026,Active
"Diploma in Theological and Pastoral Studies","St Mbaga National Major Seminary",Kampala,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Theology (Programme Affiliation – Urbaniana University)","St Mbaga National Major Seminary",Kampala,14/Jun/2021,14/Jun/2026,Active
"Diploma in Theological and Pastoral Studies","St Mary's National Major Seminary Ggaba",Kampala,14/Jun/2021,14/Jun/2026,Active
"Master of Arts in Theological and Religious Studies (Programme Affiliation- Makerere University)","St Mary's National Major Seminary Ggaba",Kampala,14/Jun/2021,14/Jun/2026,Active
"Diploma in Philosophical and Social Studies","Uganda Marty’s National Major Seminary, Alokolum",Gulu,14/Jun/2021,14/Jun/2026,Active
"Bachelors in Philosophy (Programme Affiliation- Urbaniana University)","St Mbaga National Major Seminary",Kampala,14/Jun/2021,14/Jun/2026,Active
"Bachelor of Arts in Social and Philosophical Studies","Queen of Apostles Philosophy Centre, Jinja",Jinja,21/Jun/2021,21/Jun/2026,Active
"Bachelor of Arts in Philosophy","Queen of Apostles Philosophy Centre, Jinja",Jinja,21/Jun/2021,21/Jun/2026,Active
"Bachelor of Computer Engineering","Busitema University, Main Campus",Busia,21/Jun/2021,21/Jun/2026,Active
"Bachelor of Science in Fisheries and Water Resource Management","Busitema University, Namasagali Campus",Kamuli,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Science Education : Physics, Biology, Chemistry, Agriculture, Computer Studies, Geography, Mathematics, Entrepreneurship, Physical Education, Economics","Busitema University, Nagongera Campus",Tororo,23/Aug/2021,23/Aug/2026,Active
"Master of Science in Computer Science","Makerere University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Diploma in Business Management","University of Kisubi",Wakiso,23/Aug/2021,23/Aug/2026,Active
"Master of Science in Development Economics","Uganda Martyrs University",Mpigi,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Science in Counselling Psychology","Uganda Martyrs University",Mpigi,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Diplomacy and International Relations","St. Lawrence University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Diploma in Banking and Finance","Victoria University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Commerce","University of the Sacred Heart, Gulu",Gulu,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Fisheries and Water Resources Management","Busitema University, Main Campus",Busia,23/Aug/2021,23/Aug/2026,Active
"Master of Education in Educational Management","Cavendish University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Master of Science in Bio systems Engineering","Gulu University",Gulu,23/Aug/2021,23/Aug/2026,Active
"Master of Public Health","Nkumba University",Wakiso,23/Aug/2021,23/Aug/2026,Active
"Postgraduate Diploma in Computer Science","Makerere University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Postgraduate Diploma in Peace Building and Conflict Transformation","Makerere University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Diploma in Public Administration and Management","St. Lawrence University",Kampala,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Arts in Theology","St. Paul's National Major Seminary-Kinyamasika",Kabarole,23/Aug/2021,23/Aug/2026,Active
"Postgraduate Diploma in Higher Education Institution Management","Uganda Management Institute",Kampala,23/Aug/2021,23/Aug/2026,Active
"Bachelor of Community and Mental Health Counselling Psychology","Uganda Martyrs University",Mpigi,23/Aug/2021,23/Aug/2026,Active
"Diploma in Counselling Psychology","Uganda Martyrs University",Mpigi,23/Aug/2021,23/Aug/2026,Active
